"filename", "language", "JavaScript", "HTML", "PHP", "Markdown", "JSON", "CSS", "XML", "SCSS", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\Jaagir\database\migrations\2019_03_10_050513_create_favourites_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 5, 35
"c:\xampp\htdocs\Jaagir\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\xampp\htdocs\Jaagir\database\migrations\2021_09_21_014319_create_roles_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\Jaagir\database\migrations\2021_09_21_014421_create_role_user_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 4, 34
"c:\xampp\htdocs\Jaagir\database\migrations\2021_09_22_041114_create_posts_table.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 10, 4, 38
"c:\xampp\htdocs\Jaagir\database\migrations\2021_09_23_120113_create_testimonials_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\xampp\htdocs\Jaagir\database\migrations\2022_02_02_032949_create_status_job_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\xampp\htdocs\Jaagir\database\migrations\2022_03_10_032817_create_profiles_table.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 0, 10, 4, 46
"c:\xampp\htdocs\Jaagir\database\seeds\DatabaseSeeder.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 7, 50
"c:\xampp\htdocs\Jaagir\package-lock.json", "JSON", 0, 0, 0, 0, 23512, 0, 0, 0, 0, 0, 1, 23513
"c:\xampp\htdocs\Jaagir\package.json", "JSON", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"c:\xampp\htdocs\Jaagir\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 2, 31
"c:\xampp\htdocs\Jaagir\public\css\app.css", "CSS", 0, 0, 0, 0, 0, 8900, 0, 0, 0, 6, 2039, 10945
"c:\xampp\htdocs\Jaagir\public\external\css\animate.css", "CSS", 0, 0, 0, 0, 0, 3055, 0, 0, 0, 11, 557, 3623
"c:\xampp\htdocs\Jaagir\public\external\css\aos.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\Jaagir\public\external\css\bootstrap-datepicker.css", "CSS", 0, 0, 0, 0, 0, 463, 0, 0, 0, 8, 0, 471
"c:\xampp\htdocs\Jaagir\public\external\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"c:\xampp\htdocs\Jaagir\public\external\css\bootstrap\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 0, 1599, 0, 0, 0, 6, 104, 1709
"c:\xampp\htdocs\Jaagir\public\external\css\bootstrap\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 213, 0, 0, 0, 7, 54, 274
"c:\xampp\htdocs\Jaagir\public\external\css\bootstrap\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 6600, 0, 0, 0, 6, 732, 7338
"c:\xampp\htdocs\Jaagir\public\external\css\bootstrap\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"c:\xampp\htdocs\Jaagir\public\external\css\jquery-ui.css", "CSS", 0, 0, 0, 0, 0, 588, 0, 0, 0, 39, 27, 654
